ln_income,edu_years,edu_std,int_use,int_std,edu_int_interact,gender,age,residence,health,hukou
11.002116507732017,11,1.7171727183025525,5,0.9990969695954552,1.7156220591280704,0,36,1,4,0
10.819798284210286,6,0.20818040826980613,4,0.4005064169404213,0.0833775893933341,0,64,1,4,1
10.491301994830229,6,0.20818040826980613,1,-1.395265241,-0.290466888,0,60,1,3,1
11.775297421715827,12,2.0189711803091015,5,0.9990969695954552,2.0171479879473826,0,53,1,3,1
12.206077645517674,13,2.3207696423156507,5,0.9990969695954552,2.3186739167666954,0,49,1,5,1
9.210440366976517,12,2.0189711803091015,5,0.9990969695954552,2.0171479879473826,0,22,1,5,1
10.308985993422082,4,-0.395416516,1,-1.395265241,0.5517109201437042,1,64,1,3,1
11.002116507732017,4,-0.395416516,1,-1.395265241,0.5517109201437042,0,80,1,4,1
11.141876276228,3,-0.697214978,1,-1.395265241,0.97279982397615,0,75,1,3,1
10.778977123006351,6,0.20818040826980613,4,0.4005064169404213,0.0833775893933341,0,62,1,1,1
10.491301994830229,10,1.4153742562960032,4,0.4005064169404213,0.5668664720188258,1,74,1,4,1
10.827766295132466,4,-0.395416516,4,0.4005064169404213,-0.158366852,0,71,1,4,1
10.308985993422082,1,-1.300811902,1,-1.395265241,1.8149776316410415,0,71,1,4,0
11.775297421715827,7,0.5099788702763554,5,0.9990969695954552,0.5095183438508204,0,45,1,5,0
11.002116507732017,3,-0.697214978,5,0.9990969695954552,-0.696585371,1,46,1,4,1
11.51293546492023,9,1.113575794289454,4,0.4005064169404213,0.44599425136245285,1,52,1,5,1
0,6,0.20818040826980613,4,0.4005064169404213,0.0833775893933341,0,63,1,4,0
11.289794413577894,12,2.0189711803091015,5,0.9990969695954552,2.0171479879473826,0,24,1,4,1
10.308985993422082,6,0.20818040826980613,5,0.9990969695954552,0.20799241503150795,0,39,1,5,0
9.90353755128617,9,1.113575794289454,4,0.4005064169404213,0.44599425136245285,0,42,1,3,0
9.392745258631441,4,-0.395416516,1,-1.395265241,0.5517109201437042,0,57,1,2,1
0,1,-1.300811902,1,-1.395265241,1.8149776316410415,0,75,1,3,0
0,9,1.113575794289454,5,0.9990969695954552,1.1125702014894454,0,33,1,3,0
0,7,0.5099788702763554,5,0.9990969695954552,0.5095183438508204,0,46,1,3,1
11.695255355062795,12,2.0189711803091015,5,0.9990969695954552,2.0171479879473826,0,63,1,5,1
11.002116507732017,4,-0.395416516,4,0.4005064169404213,-0.158366852,1,44,1,2,1
9.90353755128617,3,-0.697214978,1,-1.395265241,0.97279982397615,1,58,1,3,1
11.289794413577894,11,1.7171727183025525,3,-0.198084136,-0.340144674,1,65,1,4,1
10.778977123006351,3,-0.697214978,1,-1.395265241,0.97279982397615,1,81,1,4,1
10.308985993422082,6,0.20818040826980613,5,0.9990969695954552,0.20799241503150795,1,48,1,3,1
16.1180954509583,6,0.20818040826980613,3,-0.198084136,-0.041237236,0,19,1,4,1
10.596659732783579,5,-0.093618054,4,0.4005064169404213,-0.037494631,1,49,1,3,0
9.310366686043308,3,-0.697214978,2,-0.796674688,0.5554535251255052,0,68,1,4,0
7.901377353792616,3,-0.697214978,1,-1.395265241,0.97279982397615,0,67,1,2,1
10.308985993422082,6,0.20818040826980613,5,0.9990969695954552,0.20799241503150795,1,66,1,5,0
6.398594934535208,1,-1.300811902,1,-1.395265241,1.8149776316410415,0,86,1,2,0
0,7,0.5099788702763554,5,0.9990969695954552,0.5095183438508204,0,45,1,3,1
9.210440366976517,4,-0.395416516,1,-1.395265241,0.5517109201437042,0,52,0,1,1
0,6,0.20818040826980613,4,0.4005064169404213,0.0833775893933341,1,19,1,5,0
10.308985993422082,4,-0.395416516,2,-0.796674688,0.3150183294559989,1,51,1,4,0
9.90353755128617,4,-0.395416516,4,0.4005064169404213,-0.158366852,0,59,1,3,0
9.90353755128617,3,-0.697214978,4,0.4005064169404213,-0.279239073,0,53,1,5,1
9.937937287265354,3,-0.697214978,1,-1.395265241,0.97279982397615,0,77,0,2,0
10.819798284210286,7,0.5099788702763554,4,0.4005064169404213,0.204249810049707,1,31,1,5,0
10.596659732783579,6,0.20818040826980613,5,0.9990969695954552,0.20799241503150795,0,68,1,3,0
9.90353755128617,6,0.20818040826980613,5,0.9990969695954552,0.20799241503150795,0,34,1,4,1
11.350418300109132,10,1.4153742562960032,5,0.9990969695954552,1.414096130308758,1,82,1,3,1
9.546884034617925,3,-0.697214978,2,-0.796674688,0.5554535251255052,0,65,1,4,0
10.673618922112436,1,-1.300811902,1,-1.395265241,1.8149776316410415,1,76,1,3,1
11.407576060361786,7,0.5099788702763554,5,0.9990969695954552,0.5095183438508204,0,80,1,5,1
10.819798284210286,4,-0.395416516,4,0.4005064169404213,-0.158366852,0,47,1,3,0
0,6,0.20818040826980613,5,0.9990969695954552,0.20799241503150795,0,19,1,3,0
0,4,-0.395416516,5,0.9990969695954552,-0.395059443,0,31,0,4,1
0,10,1.4153742562960032,5,0.9990969695954552,1.414096130308758,0,21,1,3,0
10.308985993422082,4,-0.395416516,3,-0.198084136,0.07832573876829359,1,52,1,5,0
16.11809565095832,1,-1.300811902,1,-1.395265241,1.8149776316410415,0,67,1,1,0
10.819798284210286,3,-0.697214978,4,0.4005064169404213,-0.279239073,1,37,1,4,0
11.289794413577894,6,0.20818040826980613,5,0.9990969695954552,0.20799241503150795,1,35,1,4,1
9.741027444837728,3,-0.697214978,1,-1.395265241,0.97279982397615,1,72,0,1,0
16.1180954509583,1,-1.300811902,1,-1.395265241,1.8149776316410415,0,39,0,5,0
